Method;APK-Size;Cached-classloader;Time-ns
Emboss;52MB;no;3818807134
Emboss;52MB;no;3975092342
Emboss;52MB;no;4757738436
Emboss;52MB;no;4989719164
Emboss;52MB;no;4986971091
Emboss;52MB;no;5110698436
Emboss;52MB;no;4632568333
Emboss;52MB;no;4682662343
Emboss;52MB;no;4647744634
Emboss;52MB;no;5736563227
Emboss;52MB;no;4436484478
Emboss;52MB;no;4464549268
Emboss;52MB;no;4495093591
Emboss;52MB;no;4544180884
Emboss;52MB;no;4838665936
Emboss;52MB;no;4587254322
Emboss;52MB;no;4572338124
Emboss;52MB;no;4615743488
Emboss;52MB;no;4560069321
Emboss;52MB;no;4538673278
Emboss;52MB;no;4569346354
Emboss;52MB;no;4555499060
Emboss;52MB;no;4757909270
Emboss;52MB;no;4609827446
Emboss;52MB;no;4624994635
Emboss;52MB;no;5091177185
Emboss;52MB;no;4745568591
Emboss;52MB;no;4466199166
Emboss;52MB;no;4588613125
Emboss;52MB;no;4612861511
Snow;52MB;no;867380104
Snow;52MB;no;1516169217
Snow;52MB;no;1627557865
Snow;52MB;no;1551210833
Snow;52MB;no;2023155208
Snow;52MB;no;2804301823
Snow;52MB;no;1169096041
Snow;52MB;no;1098568697
Snow;52MB;no;1056197915
Snow;52MB;no;1042445105
Snow;52MB;no;1050202918
Snow;52MB;no;1819395936
Snow;52MB;no;1023081354
Snow;52MB;no;1110861146
Snow;52MB;no;1035272189
Snow;52MB;no;1057956667
Snow;52MB;no;1021704114
Snow;52MB;no;943026666
Snow;52MB;no;942206770
Snow;52MB;no;995224685
Snow;52MB;no;1035067501
Snow;52MB;no;3539687187
Snow;52MB;no;1242661042
Snow;52MB;no;1108375051
Snow;52MB;no;1387412760
Snow;52MB;no;991029635
Snow;52MB;no;959172395
Snow;52MB;no;859745052
Snow;52MB;no;978352969
Snow;52MB;no;963141094
Emboss;52MB;yes;3582945052
Emboss;52MB;yes;4211946041
Emboss;52MB;yes;4899183644
Emboss;52MB;yes;4707811770
Emboss;52MB;yes;5217048123
Emboss;52MB;yes;4713718852
Emboss;52MB;yes;4595706249
Emboss;52MB;yes;4916245520
Emboss;52MB;yes;4666990623
Emboss;52MB;yes;4452108697
Emboss;52MB;yes;4554734894
Emboss;52MB;yes;4488551405
Emboss;52MB;yes;5067226979
Emboss;52MB;yes;4662983643
Emboss;52MB;yes;4821769269
Emboss;52MB;yes;4721904115
Emboss;52MB;yes;4747548905
Emboss;52MB;yes;4970702654
Emboss;52MB;yes;4799990624
Emboss;52MB;yes;4787926248
Emboss;52MB;yes;4655155206
Emboss;52MB;yes;5101008749
Emboss;52MB;yes;4709497603
Emboss;52MB;yes;5097441508
Emboss;52MB;yes;4890709738
Emboss;52MB;yes;5014878070
Emboss;52MB;yes;4763274685
Emboss;52MB;yes;4575304008
Emboss;52MB;yes;4421087031
Emboss;52MB;yes;4493381663
Snow;52MB;yes;1013314270
Snow;52MB;yes;3102192656
Snow;52MB;yes;1839990364
Snow;52MB;yes;1696376822
Snow;52MB;yes;2033239529
Snow;52MB;yes;1594509896
Snow;52MB;yes;1401515417
Snow;52MB;yes;1457338592
Snow;52MB;yes;1502253437
Snow;52MB;yes;1349771512
Snow;52MB;yes;1376451666
Snow;52MB;yes;1795426509
Snow;52MB;yes;1254608386
Snow;52MB;yes;1368136666
Snow;52MB;yes;1391134375
Snow;52MB;yes;1517187604
Snow;52MB;yes;1316030780
Snow;52MB;yes;1674485676
Snow;52MB;yes;1469787605
Snow;52MB;yes;1467334686
Snow;52MB;yes;1269118437
Snow;52MB;yes;1011958281
Snow;52MB;yes;1165264947
Snow;52MB;yes;1348613281
Snow;52MB;yes;1282452447
Snow;52MB;yes;835478334
Snow;52MB;yes;1400665572
Snow;52MB;yes;1354681094
Snow;52MB;yes;1483027862
Snow;52MB;yes;1291548124
Emboss;1.7MB;no;3829742081
Emboss;1.7MB;no;4259758280
Emboss;1.7MB;no;4645015936
Emboss;1.7MB;no;5012548594
Emboss;1.7MB;no;5297801978
Emboss;1.7MB;no;4724816143
Emboss;1.7MB;no;4640310206
Emboss;1.7MB;no;5051439894
Emboss;1.7MB;no;4778923123
Emboss;1.7MB;no;4816650989
Emboss;1.7MB;no;4850090881
Emboss;1.7MB;no;4707639321
Emboss;1.7MB;no;4582951927
Emboss;1.7MB;no;4895239790
Emboss;1.7MB;no;4630263697
Emboss;1.7MB;no;5404921821
Emboss;1.7MB;no;4816584947
Emboss;1.7MB;no;4892129685
Emboss;1.7MB;no;5038102497
Emboss;1.7MB;no;4538163332
Emboss;1.7MB;no;5138483800
Emboss;1.7MB;no;4470136300
Emboss;1.7MB;no;4999877550
Emboss;1.7MB;no;4722812707
Emboss;1.7MB;no;4615893175
Emboss;1.7MB;no;4630843801
Emboss;1.7MB;no;4548849479
Emboss;1.7MB;no;4494209269
Emboss;1.7MB;no;4526822549
Emboss;1.7MB;no;5502254633
Snow;1.7MB;no;807960625
Snow;1.7MB;no;1366706198
Snow;1.7MB;no;2135630207
Snow;1.7MB;no;3681918801
Snow;1.7MB;no;2348200415
Snow;1.7MB;no;2467336301
Snow;1.7MB;no;1875465155
Snow;1.7MB;no;1297587239
Snow;1.7MB;no;1267880624
Snow;1.7MB;no;1224196302
Snow;1.7MB;no;1121100365
Snow;1.7MB;no;1166329323
Snow;1.7MB;no;1672988490
Snow;1.7MB;no;2003191822
Snow;1.7MB;no;2407536041
Snow;1.7MB;no;1945898281
Snow;1.7MB;no;2094897706
Snow;1.7MB;no;1867310520
Snow;1.7MB;no;1136417917
Snow;1.7MB;no;1265587865
Snow;1.7MB;no;1173424271
Snow;1.7MB;no;1383100886
Snow;1.7MB;no;1160214740
Snow;1.7MB;no;2330020885
Snow;1.7MB;no;2063561614
Snow;1.7MB;no;2070413280
Snow;1.7MB;no;2186416093
Snow;1.7MB;no;1518233646
Snow;1.7MB;no;1071887447
Snow;1.7MB;no;1237565311
Emboss;1.7MB;yes;3714579687
Emboss;1.7MB;yes;4379781040
Emboss;1.7MB;yes;5177258540
Emboss;1.7MB;yes;4807284477
Emboss;1.7MB;yes;5319236925
Emboss;1.7MB;yes;4997512289
Emboss;1.7MB;yes;4896496143
Emboss;1.7MB;yes;4760793281
Emboss;1.7MB;yes;4817468593
Emboss;1.7MB;yes;4884223280
Emboss;1.7MB;yes;4417980415
Emboss;1.7MB;yes;4865506404
Emboss;1.7MB;yes;4573896768
Emboss;1.7MB;yes;4418298696
Emboss;1.7MB;yes;4762807549
Emboss;1.7MB;yes;5013991822
Emboss;1.7MB;yes;4509956405
Emboss;1.7MB;yes;4855054946
Emboss;1.7MB;yes;4533572915
Emboss;1.7MB;yes;5062894217
Emboss;1.7MB;yes;4764138645
Emboss;1.7MB;yes;5000144268
Emboss;1.7MB;yes;4505719999
Emboss;1.7MB;yes;4665532030
Emboss;1.7MB;yes;4687849998
Emboss;1.7MB;yes;4777504008
Emboss;1.7MB;yes;4501550102
Emboss;1.7MB;yes;5011400831
Emboss;1.7MB;yes;4839527706
Emboss;1.7MB;yes;4801768228
Snow;1.7MB;yes;779609531
Snow;1.7MB;yes;1627448749
Snow;1.7MB;yes;1579371093
Snow;1.7MB;yes;1685637864
Snow;1.7MB;yes;1723841248
Snow;1.7MB;yes;1501504061
Snow;1.7MB;yes;1402803490
Snow;1.7MB;yes;917740313
Snow;1.7MB;yes;1589213123
Snow;1.7MB;yes;1820127657
Snow;1.7MB;yes;1687701093
Snow;1.7MB;yes;1373725000
Snow;1.7MB;yes;1584672343
Snow;1.7MB;yes;1433094791
Snow;1.7MB;yes;1333819166
Snow;1.7MB;yes;1053633957
Snow;1.7MB;yes;1356593073
Snow;1.7MB;yes;1479889219
Snow;1.7MB;yes;1321969844
Snow;1.7MB;yes;1558390728
Snow;1.7MB;yes;1294809740
Snow;1.7MB;yes;1469213488
Snow;1.7MB;yes;1331541770
Snow;1.7MB;yes;889352500
Snow;1.7MB;yes;1377837240
Snow;1.7MB;yes;1514417865
Snow;1.7MB;yes;1256886666
Snow;1.7MB;yes;1994949583
Snow;1.7MB;yes;1342342811
Snow;1.7MB;yes;1409473438