size-b;time-ms;avg-power-mw;bandwidth-mbps
54251284;114353;667.44;4
54251284;114084;667.44;4
54251284;114293;667.44;4
54251284;114085;667.44;4
54251284;114174;667.44;4
54251284;114181;667.44;4
54251284;114011;667.44;4
54251284;114189;667.44;4
54251284;114608;667.44;4
54251284;114312;667.44;4
54251284;114577;667.44;4
54251284;114345;667.44;4
54251284;114352;667.44;4
54251284;116125;667.44;4
54251284;114070;667.44;4
54251284;114096;667.44;4
54251284;114064;667.44;4
54251284;113957;667.44;4
54251284;114376;667.44;4
54251284;113842;667.44;4
54251284;114510;667.44;4
54251284;118828;667.44;4
54251284;114081;667.44;4
54251284;113979;667.44;4
54251284;113996;667.44;4
54251284;114037;667.44;4
54251284;116139;667.44;4
54251284;114107;667.44;4
54251284;116467;667.44;4
54251284;113921;667.44;4
1830413;15574;589.41;1
1830413;15431;589.41;1
1830413;15667;589.41;1
1830413;15808;589.41;1
1830413;15716;589.41;1
1830413;15763;589.41;1
1830413;15617;589.41;1
1830413;15549;589.41;1
1830413;15673;589.41;1
1830413;15508;589.41;1
1830413;15461;589.41;1
1830413;15354;589.41;1
1830413;15616;589.41;1
1830413;15694;589.41;1
1830413;15714;589.41;1
1830413;15583;589.41;1
1830413;15704;589.41;1
1830413;15940;589.41;1
1830413;16286;589.41;1
1830413;15958;589.41;1
1830413;15537;589.41;1
1830413;15688;589.41;1
1830413;15597;589.41;1
1830413;15730;589.41;1
1830413;15379;589.41;1
1830413;15351;589.41;1
1830413;15339;589.41;1
1830413;15916;589.41;1
1830413;15945;589.41;1
1830413;15729;589.41;1
54251284;228576;633.96;2
54251284;232060;633.96;2
54251284;230971;633.96;2
54251284;228225;633.96;2
54251284;243182;633.96;2
54251284;231015;633.96;2
54251284;229795;633.96;2
54251284;244873;633.96;2
1830413;4063;677.79;4
1830413;4676;677.79;4
1830413;3976;677.79;4
1830413;3831;677.79;4
1830413;3914;677.79;4
1830413;4108;677.79;4
1830413;3905;677.79;4
1830413;4114;677.79;4
1830413;3877;677.79;4
1830413;3847;677.79;4
1830413;4035;677.79;4
1830413;3918;677.79;4
1830413;3933;677.79;4
1830413;3856;677.79;4
1830413;3920;677.79;4
1830413;3954;677.79;4
1830413;3847;677.79;4
1830413;3880;677.79;4
1830413;3963;677.79;4
1830413;3832;677.79;4
1830413;3875;677.79;4
1830413;3842;677.79;4
1830413;3898;677.79;4
1830413;3851;677.79;4
1830413;3834;677.79;4
1830413;3850;677.79;4
1830413;4024;677.79;4
1830413;3843;677.79;4
1830413;3818;677.79;4
1830413;4029;677.79;4
1830413;2087;671.81;8
1830413;2003;671.81;8
1830413;2000;671.81;8
1830413;1977;671.81;8
1830413;2081;671.81;8
1830413;1937;671.81;8
1830413;1937;671.81;8
1830413;1965;671.81;8
1830413;2077;671.81;8
1830413;1997;671.81;8
1830413;2016;671.81;8
1830413;1999;671.81;8
1830413;2055;671.81;8
1830413;2607;671.81;8
1830413;2030;671.81;8
1830413;1957;671.81;8
1830413;2063;671.81;8
1830413;2016;671.81;8
1830413;1978;671.81;8
1830413;2038;671.81;8
1830413;2512;671.81;8
1830413;1964;671.81;8
1830413;1973;671.81;8
1830413;1983;671.81;8
1830413;1950;671.81;8
1830413;1950;671.81;8
1830413;1934;671.81;8
1830413;2113;671.81;8
1830413;2015;671.81;8
1830413;1957;671.81;8
54251284;59189;739.43;8
54251284;57407;739.43;8
54251284;57539;739.43;8
54251284;57241;739.43;8
54251284;57219;739.43;8
54251284;57454;739.43;8
54251284;57693;739.43;8
54251284;57218;739.43;8
54251284;57080;739.43;8
54251284;57550;739.43;8
54251284;57146;739.43;8
54251284;57794;739.43;8
54251284;57658;739.43;8
54251284;57379;739.43;8
54251284;57534;739.43;8
54251284;57381;739.43;8
54251284;56874;739.43;8
54251284;57581;739.43;8
54251284;57165;739.43;8
54251284;57556;739.43;8
54251284;57340;739.43;8
54251284;57354;739.43;8
54251284;57243;739.43;8
54251284;57197;739.43;8
54251284;57601;739.43;8
54251284;58541;739.43;8
54251284;57047;739.43;8
54251284;57649;739.43;8
54251284;58070;739.43;8
54251284;58201;739.43;8